Place of interest;Type of place;Place address;name;address
Aparcamiento para residentes. Antonio Machado;Aparcamiento para residentes. Antonio Machado;CALLE ANTONIO MACHADO 19;Francos Rodríguez;Calle Francos Rodríguez nº 62
Aparcamiento para residentes. Antonio Maura;Aparcamiento para residentes. Antonio Maura;CALLE ANTONIO MAURA 7;Antonio Maura;Calle Antonio Maura nº 15
Aparcamiento para residentes. Antonio Mena;Aparcamiento para residentes. Antonio Mena;AVENIDA DOCTOR GARCIA TAPIA 119;Marroquina;Calle Camino de los Vinateros nº 108
Aparcamiento para residentes. Antonio Pirala;Aparcamiento para residentes. Antonio Pirala;CALLE ANTONIO PIRALA 8;Puente de Ventas;Avenida de Daroca nº 2
Aparcamiento para residentes. Arganda;Aparcamiento para residentes. Arganda;CALLE ARGANDA 10 C;Madrid Río-Yeserías;Paseo de Yeserías nº 45
Aparcamiento para residentes. Arroyo Fontarrón;Aparcamiento para residentes. Arroyo Fontarrón;CALLE ARROYO FONTARRON 9;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Aparcamiento para residentes. Arroyo Media Legua;Aparcamiento para residentes. Arroyo Media Legua;CALLE CORREGIDOR DIEGO CABEZA DE VACA 4;Camino Vinateros;Calle Camino de los Vinateros nº 28
Aparcamiento para residentes. Arroyo del Olivar;Aparcamiento para residentes. Arroyo del Olivar;CALLE ARROYO DEL OLIVAR 51;Sierra Toledana;Camino de Valderribas nº 94
Aparcamiento para residentes. Augusto González Besada;Aparcamiento para residentes. Augusto González Besada;AVENIDA MORATALAZ 183;Marroquina;Calle Camino de los Vinateros nº 108
Aparcamiento para residentes. Avenida de las Águilas (antes General Fanjul);Aparcamiento para residentes. Avenida de las Águilas (antes General Fanjul);AVENIDA LAS AGUILAS 144;Caramuel;Calle Caramuel nº 51
Aparcamiento para residentes. Azuaga;Aparcamiento para residentes. Azuaga;CALLE SAN RESTITUTO 33;Francos Rodríguez;Calle Francos Rodríguez nº 62
Aparcamiento para residentes. Baviera;Aparcamiento para residentes. Baviera;AVENIDA BRUSELAS 74 B;Corazón de María;Calle Santa Hortensia nº 31
Aparcamiento para residentes. Bañeza;Aparcamiento para residentes. Bañeza;"CALLE LA BA&amp;Ntilde;EZA 20";Francos Rodríguez;Calle Francos Rodríguez nº 62
Aparcamiento para residentes. Belianes;Aparcamiento para residentes. Belianes;CALLE AGUSTIN DE ITURBIDE 7;Carlota O’Neill;Calle Carlota O'Neill nº 32
Aparcamiento para residentes. Blasco de Garay;Aparcamiento para residentes. Blasco de Garay;CALLE BLASCO DE GARAY 31;Guzmán el Bueno;Calle Guzmán el Bueno nº 1
Aparcamiento para residentes. Bohemios;Aparcamiento para residentes. Bohemios;CALLE PAN Y TOROS 56;Glorieta de Cádiz;Calle Antonio López nº 129
Aparcamiento para residentes. Boston;Aparcamiento para residentes. Boston;CALLE BOSTON 2;Camilo José Cela;Avenida de Camilo José Cela nº 23
Aparcamiento para residentes. Bravo Murillo;Aparcamiento para residentes. Bravo Murillo;CALLE BRAVO MURILLO 49;Canal;Calle José Abascal frente al nº 2
Aparcamiento para residentes. Brescia;Aparcamiento para residentes. Brescia;CALLE BRESCIA 13;Avenida Bruselas;Avenida Bruselas nº 56
Aparcamiento para residentes. Bristol;Aparcamiento para residentes. Bristol;CALLE BRISTOL 4;Avenida Bruselas;Avenida Bruselas nº 56
Aparcamiento para residentes. Bruselas;Aparcamiento para residentes. Bruselas;AVENIDA BRUSELAS 74;Avenida Bruselas;Avenida Bruselas nº 56
Aparcamiento para residentes. Burgo de Osma;Aparcamiento para residentes. Burgo de Osma;CALLE BURGO DE OSMA 4;Pío XII;Avenida Pío XII nº 3
Aparcamiento para residentes. Cabestreros;Aparcamiento para residentes. Cabestreros;CALLE AMPARO 26;Plaza de Nelson Mandela;Calle Mesón de Paredes nº 35
Aparcamiento para residentes. Calanda;Aparcamiento para residentes. Calanda;CALLE CALANDA 30;Carlota O’Neill;Calle Carlota O'Neill nº 32
Aparcamiento para residentes. Camarena;Aparcamiento para residentes. Camarena;CALLE CAMARENA 10;Caramuel;Calle Caramuel nº 51
Aparcamiento para residentes. Camino Viejo de Leganés;Aparcamiento para residentes. Camino Viejo de Leganés;CALLE CAMINO VIEJO DE LEGANES 179;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Aparcamiento para residentes. Camino de los Vinateros I;Aparcamiento para residentes. Camino de los Vinateros I;CALLE CAMINO DE LOS VINATEROS 129;Marroquina;Calle Camino de los Vinateros nº 108
Aparcamiento para residentes. Camino de los Vinateros II (El Torito);Aparcamiento para residentes. Camino de los Vinateros II (El Torito);CALLE CAMINO DE LOS VINATEROS 118;Marroquina;Calle Camino de los Vinateros nº 108
Aparcamiento para residentes. Campillo del Mundo Nuevo;Aparcamiento para residentes. Campillo del Mundo Nuevo;PLAZA CAMPILLO DEL MUNDO NUEVO 3;Ribera de Curtidores;Calle Ribera de Curtidores nº 28
Aparcamiento para residentes. Canal;Aparcamiento para residentes. Canal;CALLE CEA BERMUDEZ 1;Canal;Calle José Abascal frente al nº 2
Aparcamiento para residentes. Cantabria;Aparcamiento para residentes. Cantabria;CALLE BERGANTIN 24;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Aparcamiento para residentes. Castelló;Aparcamiento para residentes. Castelló;CALLE DIEGO DE LEON 42;Diego de León 52;Calle Diego de León nº 52
Aparcamiento para residentes. Castrillo de Aza;Aparcamiento para residentes. Castrillo de Aza;AVENIDA SANTA EUGENIA 1;Pavones;Calle Hacienda de Pavones nº 342
Aparcamiento para residentes. Cañada;Aparcamiento para residentes. Cañada;"CALLE CA&amp;Ntilde;ADA 2";Marroquina;Calle Camino de los Vinateros nº 108
Aparcamiento para residentes. Chamberí;Aparcamiento para residentes. Chamberí;CALLE SANTA ENGRACIA 40;Manuel Silvela;Calle Manuel Silvela nº 20
Aparcamiento para residentes. Chaparral;Aparcamiento para residentes. Chaparral;CALLE CHAPARRAL 40;Carlota O’Neill;Calle Carlota O'Neill nº 32
Aparcamiento para residentes. Cidamón;Aparcamiento para residentes. Cidamón;PLAZA NALDA 1;Condesa de Venadito;Calle Condesa de Venadito nº 2
Aparcamiento para residentes. Clara del Rey;Aparcamiento para residentes. Clara del Rey;CALLE CLARA DEL REY 49;Corazón de María;Calle Santa Hortensia nº 31
Aparcamiento para residentes. Codorniz;Aparcamiento para residentes. Codorniz;CALLE CODORNIZ ;Caramuel;Calle Caramuel nº 51
Aparcamiento para residentes. Comandante Benítez;Aparcamiento para residentes. Comandante Benítez;CALLE COMANDANTE BENITEZ 16;Jaime el Conquistador;Calle Jaime el Conquistador nº 30
Aparcamiento para residentes. Condado de Treviño;Aparcamiento para residentes. Condado de Treviño;"CALLE CONDADO DE TREVI&amp;Ntilde;O 25";Manuel Caldeiro;Paseo de la Castellana nº 298
